问题,答案
意识强度检测点5区有哪些催眠策略,1、社会舆论的影响，和社会洗脑体系是一体的：让人类以为社会在发展，观念在更新在进步的假象。这个也是T组*催眠策略之一：之前的标准，人类受不了了，就进行更新，推出新的升级版，宣传这是更科学、更合理、更人性化的标准，这是社会进步的标志……等等。2、创新型反应模式，这个也是T组催眠策略之一：把人类的关注点，放在通过不同的“行为模式”，去达成自己的目的。   这方面的洗脑文章非常多，教导人们用各种技巧和手段，来维护自己固有的观念，达成相应的目的。这个催眠策略是尽量覆盖多角度，从多角度围攻的模式。3、情绪反应惯性，例如：将一件事情识别为是对自己的冒犯，那么自己就会愤怒。 人类很多情绪，都是受这种头脑虚假识别所带来的。   这种也是属于催眠策略之一。 现在甚至连一个表情，一个词语，你都被告知真实含义都是对方不爱理你等等。这是一种有效的催眠策略，一种灌输方式，并且随着时代变化在不断更新升级。
意识强度检测点5区中，哪些检测点建议可以专门做研究课题,情绪反应惯性、多惯性组合流动性、延展差异性、分化细致性
传统观念和社会标准中，已经让人们把一些特定事件识别为自己应该自责和内疚的，都是自己的错。这个是哪个检测点,第5区左方区：旧有惯性区，心智惯性部分，情绪反应惯性中的内疚、自责模式。
哪种情绪构成很复杂，但激发却很简单。是情绪操控中常用的手段之一。  ,嫉妒模式：由于比较，自己无法达到社会平均标准，对达标或者高于社会标准的个体，会产生敌视感。
该情绪属于容易陷进去，不容易拔出来。并且可以长期稳定地存在于个体中，持续对人造成影响。类似定时炸弹，是引发连锁负面情绪很好用的导火线。是什么情绪,嫉妒
羞愧这种情绪会降低自信心，造成人际关系的问题。对吗,对
在一些场合中认为自己表现不当，让人感到尴尬和困窘，会让自己难以忘怀，感觉丢人。是哪个检测点,羞愧模式。
恐惧、害怕模式。举例,比如怕黑、怕鬼、怕人借钱等等。
解释恐惧、害怕模式,受一些观念所影响，认为某些场景应该是很让人害怕的，所以自己会预先产生恐惧的心理。
意识强度检测点5区中，有一个点是心智容易控制的地方，哪个点,自卑、悲观模式，对人事物的看法较为消极，多数和自卑有关，对自我评价较低。人类基本都有感到自卑的地方。因为人无完人，这一点也是心智容易控制的地方。
自卑、悲观模式的控制模式,不断去通过各种比较，来强化个体的“弱点”，让人不自信，觉得自己不行，以此打击个体。
哪个情绪对人类的影响很大。,自卑
大多数人都看起来开朗自信，其实自卑感都藏在心里，不表露于人，自己也尽量去逃避。这个说的是哪个检测点,自卑、悲观模式
数值在多少左右的，就已经可以明显影响到自己的整体心态，给生活带来阻碍。 ,80%左右
与自卑属于一对数值，互相同时影响个体。哪个数值,自负、傲慢模式。
当个体自卑的时候就想通过什么去进行心态调节。,自负
意识强度检测点5区的情绪反应惯性中，属于两个极端，让人无法达成真正的平衡。是指哪两个检测点？,自卑、悲观模式和自负、傲慢模式
为什么自负、傲慢模式的量化数值比自卑、悲观模式稍高,自负比自卑数值稍高。因为人们急于想摆脱自卑，便会不停的制造各种有利于自己的比较，来抬高自己，去鄙视别人。 
潜意识惯性流动性慢的话，代表啥,潜意识惯性流动性慢的话，代表该惯性较为固化。
潜意识惯性流动性快的话，代表啥,流动快，说明比较灵活一些。
潜意识惯性流动性如果百分百的话，代表什么,如果百分百的话，代表没有任何阻碍，可随意切换，属于没有任何相关的惯性。
思想惯性流动性解释,个体从一种思想形态切换到另一种的速度。
个体从一种思想形态切换到另一种的速度，切换快代表什么,切换快，代表思维较为灵活。
个体从一种思想形态切换到另一种的速度，切换慢代表什么,慢的话，代表该个体较为思想固执，不太会变通。
情绪惯性流动性数值高会怎样,数值高的话，情绪调节能力强，可适应各种压力环境。
情绪惯性流动性数值低会怎样,数值低的话，就较难排解自己的负面情绪，容易长期受影响。
惯性阈限值较为灵活的会怎样,惯性阈限值较为灵活的，人会比较灵活变通，适应各种情况；
惯性阈限值较为死板的会怎样,惯性阈限值如果较为死板，代表该人过于坚守自己的原则，较难针对形势做一些调整。
惯性核心流动性什么意思,指个体一些较为核心惯性的变化程度。
惯性核心流动性高会怎样,流动性高，不会固执己见，能接受不同的观点思想
惯性核心流动性数值低会怎样,数值低，则相当保守，无法接受新理念。
单一惯性流动性解释一下,指个体在保有一种惯性的同时，对该惯性相关的观念和情绪等的流动性。
单一惯性流动性强代表什么,流动性强，代表该惯性具有伸缩性，可大可小。
多惯性组合流动性，解释一下,指个体根据当下的不同情况，自动对相关的惯性倾向进行不同的组合，来应对各种状况。
意识强度检测点5区中，什么也是人类性格复杂多变的因素之一,多惯性组合流动性：这些组合灵活多变，表现多种多样，也是人类性格复杂多变的因素之一。
意识强度检测点5区中，哪种意识惯性，与复合体深度无关,浅层意识惯性
什么是浅层意识惯性的一部分来源,中层意识惯性和深层意识惯性
什么是中层意识惯性的一部分来源,深层意识惯性
什么意识惯性是个体较为深入的一些性格的来源。,中层意识惯性
延展性方面，延展性越强代表什么,延展性越强，代表该惯性对个体的影响就越突出。
延展性方面这个检测点指什么,指单一潜意识惯性能够扩展到多大范围。
解释延展稳定性,指该惯性在延展过程中，保持强度和倾向不变的程度。很多惯性，在延展中还是会发生一些变化。
延展稳定性数值高代表什么,数值高，代表该人极其单一古板。
分化细致性解释一下,指该惯性根据细化程度，可分成多少小的惯性。
在意识强度检测点5区中，很多修行的人看起来比普通人限制更多的原因是什么,分化细致性：修行者在一定阶段，觉察层面较为精细，惯性自动分化的也更加细致，在更多灵性方面影响修行者。这个也是很多修行的人看起来比普通人限制更多的原因之一。
心智系统常常结合这一点，对个体进行配合控制，加强惯性。这一点指什么,指分化细致性：修行者在一定阶段，觉察层面较为精细，惯性自动分化的也更加细致，在更多灵性方面影响修行者。这个也是很多修行的人看起来比普通人限制更多的原因之一。
分化柔和性数值很高的个体会怎样,数值很高的个体，会觉得该惯性组合让自己感到舒适。
分化更加自然隐蔽，也是催眠大趋势之一。对吗,对
循环原发程度数值是指什么,该数值是指：今生先天惯性中，有多少是由于需要循环的原因而被保留。
意识强度检测点5区中，哪方面常有T组的各种合作方来进行实验,影响的变异度：诱导性手段对潜意识惯性产生变异的影响，由一种惯性向另一种惯性进行成功诱导的比例。这方面常有T组的各种合作方来进行实验。
