问题,答案
一些同频的信息粒子，因为相吸而聚集在一起，为什么对机体可能会产生一些障碍性的影响。,因为可被聚集起来的信息粒子，通常活性较弱，所以通常表现为负性。 而正向性的信息粒子，因为活性较强，而不宜互相吸引聚集。
在实验研究中，聚集起来的负面粒子，可通过激光照射，而引发分离效应。该方向可以作为医学上的前沿研究。那么研究重点是什么,主要研究重点，在于不同种类的粒子，对应不同频率的激光类型。 其次，就是技术上的可操作性。 还有一个重点，是检验和识别该聚集粒子的类型。这个部分，可以结合灵性。 所以，灵性和高科技的结合，是未来医学的发展趋势。
未来医学的发展趋势是什么,灵性和高科技的结合
植物神经部分中，机体内部的不同区域，对整体都有不同的影响。 这个被影响的客体是指什么,这个被影响的客体是指人体
植物神经部分中，机体内部的不同区域，对整体都有不同的影响。影响的主体是指什么,影响的主体是信息
机体内部的不同区域，对整体都有不同的影响。谁对谁的影响,信息对人体的影响
反应流的触发数量越多，人体也更加健康。为什么,反应流的触发数量，与机体活力相关。 触动的越多，会让机体扩散更迅速，机体的循环性能会得到加强，运转也会更加的流畅，人体也更加健康。
如何增加和激活反应流的触发,增加和激活触发，有以下几点： 1）增强敏感性：可通过平静的觉察或者冥想来达到。 2）通过某些特殊的活动来引发：这些活动比较具有个体特征，需要个体来自行探索。就是当个体投入某项活动中，对该活动产生热情的时候，会激活相应的触发点。 3）通过药物方式：此种方式会关闭其它的一些触发点而作为代偿，所以较有风险。
人体有几组主要神经链,3组主要神经链
人体这3组神经链如果有损伤，可以互为代偿吗,可以互为代偿
如果植物神经系统的3组主要神经链全部断裂，会怎样,会引发机体80%以上的机能停止和瘫痪。
人体某些局部功能遭受损伤的时候，其它较为强势的区域，如何做可以达到整体性的平稳。,其它较为强势的区域，可通过加强供能，以达到整体性的平稳。
个体局部损伤在30%以下的时候，都可以通过哪种方式来达到平衡。,其它较为强势的区域，可通过加强供能，来达到整体的平衡
个体局部损伤超过30%会怎样,超过30%，个体会感觉到不适，从而引发相应的疾病症状。
个体局部损伤一般来说10%以内可以称为什么,一般来说10%以内可以称为健康
个体局部损伤一般来说30%以下是什么,30%以下是亚健康
个体局部损伤一般来说30%以上是什么状态,30%以上是非健康状态。
一般来说，人体某些区域产生损伤的时候，整体系统会根据情况，将其隔离，以防止损伤进行扩散。有没有破坏隔离的时候,某些变异机制，会破坏这种隔离，产生连锁反应，引发更大的破坏。
